order_id,city,assigned_facility,assignment_distance_km,expected_breach_prob,after_coverage,assigned_month_orders,fixed_cost_per_order,variable_cost_per_order,cost_to_serve
ORD0000145,Pune,PUN-06,1.67018283,0.04684094,1,8315,13.33734215,43.09650804,56.43385020
ORD0000146,Pune,CS-01,0.58914423,0.00807551,1,9945,14.08748115,34.36627498,48.45375612
ORD0000151,Pune,PUN-01,0.75280842,0.01057497,1,4724,23.66638442,35.58690803,59.25329245
ORD0000155,Pune,PUN-05,0.76437057,0.01077806,1,6302,14.48746430,35.67393581,50.16140011
ORD0000157,Pune,PUN-03,2.08457374,0.08916407,1,6179,17.25198252,47.26693819,64.51892072
ORD0000159,Pune,CS-01,3.85238969,0.64931394,0,9945,14.08748115,76.44614609,90.53362724
ORD0000162,Pune,CS-01,1.23888793,0.02342437,1,9945,14.08748115,39.37494663,53.46242778
ORD0000165,Pune,CS-01,1.02835211,0.01661982,1,9945,14.08748115,37.69705927,51.78454042
ORD0000169,Pune,PUN-01,0.99207081,0.01566193,1,4724,23.66638442,37.41435350,61.08073792
ORD0000172,Pune,PUN-01,0.74890837,0.01050732,1,4724,23.66638442,35.55757823,59.22396265
ORD0000174,Pune,PUN-05,0.45525621,0.00647398,1,6302,14.48746430,33.38101295,47.86847725
ORD0000175,Pune,CS-01,2.69078241,0.21152646,1,9945,14.08748115,55.18127050,69.26875164
ORD0000176,Pune,CS-01,1.06067355,0.01752151,1,9945,14.08748115,37.95036023,52.03784138
ORD0000179,Pune,CS-01,1.21611102,0.02257334,1,9945,14.08748115,39.18997730,53.27745845
ORD0000181,Pune,PUN-06,0.97700560,0.01528034,1,8315,13.33734215,37.29744928,50.63479143
ORD0000183,Pune,PUN-03,1.34277358,0.02771941,1,6179,17.25198252,40.23099736,57.48297988
ORD0000184,Pune,PUN-03,1.77105517,0.05492625,1,6179,17.25198252,44.04517361,61.29715613
ORD0000185,Pune,PUN-06,3.51053311,0.51187560,0,8315,13.33734215,69.92999962,83.26734177
ORD0000192,Pune,PUN-06,3.88498882,0.66155642,0,8315,13.33734215,77.04161433,90.37895648
ORD0000195,Pune,PUN-06,0.58344541,0.00799995,1,8315,13.33734215,34.32411636,47.66145852
ORD0000199,Pune,PUN-05,4.04558458,0.71855627,0,6302,14.48746430,79.87578014,94.36324444
ORD0000200,Pune,CS-01,1.86802943,0.06392401,1,9945,14.08748115,44.99392621,59.08140735
ORD0000202,Pune,PUN-03,2.65045336,0.20055701,1,6179,17.25198252,54.56988367,71.82186620
ORD0000204,Pune,CS-01,1.22853007,0.02303355,1,9945,14.08748115,39.29071689,53.37819804
ORD0000207,Pune,PUN-06,2.36016493,0.13405496,1,8315,13.33734215,50.54280341,63.88014556
ORD0000208,Pune,PUN-04,2.78868678,0.23995394,0,3178,31.74952801,56.71942570,88.46895370
ORD0000209,Pune,CS-01,2.12086975,0.09418930,1,9945,14.08748115,47.67176728,61.75924843
ORD0000210,Pune,PUN-06,0.87152152,0.01285337,1,8315,13.33734215,36.48625184,49.82359399
ORD0000218,Pune,PUN-06,0.88737983,0.01319233,1,8315,13.33734215,36.60742873,49.94477089
ORD0000220,Pune,PUN-06,0.77162431,0.01090744,1,8315,13.33734215,35.72859330,49.06593545
ORD0000221,Pune,CS-01,1.73105959,0.05157405,1,9945,14.08748115,43.66463876,57.75211991
ORD0000228,Pune,PUN-04,0.80690712,0.01155897,1,3178,31.74952801,35.99511902,67.74464702
ORD0000229,Pune,PUN-05,1.20817231,0.02228388,1,6302,14.48746430,39.12572253,53.61318683
ORD0000230,Pune,PUN-03,1.32766491,0.02705021,1,6179,17.25198252,40.10516074,57.35714326
ORD0000232,Pune,PUN-03,1.17790962,0.02121334,1,6179,17.25198252,38.88176767,56.13375019
ORD0000237,Pune,CS-01,1.10365818,0.01879547,1,9945,14.08748115,38.28947154,52.37695268
ORD0000238,Pune,PUN-04,3.89081154,0.66372110,0,3178,31.74952801,77.14731377,108.89684177
ORD0000240,Pune,PUN-06,2.79639431,0.24229938,0,8315,13.33734215,56.84374141,70.18108356
ORD0000241,Pune,PUN-06,1.34051026,0.02761815,1,8315,13.33734215,40.21211622,53.54945838
ORD0000246,Pune,PUN-06,3.58241689,0.54166698,0,8315,13.33734215,71.32692748,84.66426963
ORD0000247,Pune,PUN-05,1.21982875,0.02271016,1,6302,14.48746430,39.22010590,53.70757019
ORD0000248,Pune,PUN-04,2.82723002,0.25183792,0,3178,31.74952801,57.34574763,89.09527564
ORD0000249,Pune,PUN-06,3.53561652,0.52229158,0,8315,13.33734215,70.41806301,83.75540517
ORD0000253,Pune,PUN-03,1.04149320,0.01698078,1,6179,17.25198252,37.79987595,55.05185847
ORD0000255,Pune,PUN-04,1.50765272,0.03614805,1,3178,31.74952801,41.63801062,73.38753863
ORD0000257,Pune,PUN-03,0.54758068,0.00754025,1,6179,17.25198252,34.05927212,51.31125464
ORD0000258,Pune,PUN-03,2.24590339,0.11348870,1,6179,17.25198252,49.12598484,66.37796736
ORD0000260,Pune,PUN-04,1.36910509,0.02892431,1,3178,31.74952801,40.45146505,72.20099306
ORD0000261,Pune,PUN-01,1.20938407,0.02232783,1,4724,23.66638442,39.13552322,62.80190764
ORD0000262,Pune,PUN-03,1.17035696,0.02095411,1,6179,17.25198252,38.82112211,56.07310463
ORD0000263,Pune,PUN-06,3.44066170,0.48283522,0,8315,13.33734215,68.56968862,81.90703077
ORD0000268,Pune,CS-01,1.04550378,0.01709248,1,9945,14.08748115,37.83130076,51.91878191
ORD0000269,Pune,CS-01,2.84771858,0.25831189,1,9945,14.08748115,57.68338667,71.77086782
ORD0000271,Pune,CS-01,1.47360249,0.03422612,1,9945,14.08748115,41.34200089,55.42948204
ORD0000272,Pune,PUN-01,2.56791800,0.17945055,1,4724,23.66638442,53.35894248,77.02532690
ORD0000276,Pune,PUN-03,1.83176207,0.06040852,1,6179,17.25198252,44.63459020,61.88657272
ORD0000278,Pune,PUN-04,3.89675508,0.66592363,0,3178,31.74952801,77.25499447,109.00452248
ORD0000280,Pune,CS-01,0.94986852,0.01461593,1,9945,14.08748115,37.08755744,51.17503858
ORD0000289,Pune,PUN-05,1.38924059,0.02987983,1,6302,14.48746430,40.62107919,55.10854349
ORD0000290,Pune,PUN-04,2.66259909,0.20381512,0,3178,31.74952801,54.75264710,86.50217511
ORD0000294,Pune,PUN-03,2.81391192,0.24768782,1,6179,17.25198252,57.12801807,74.38000059
ORD0000296,Pune,PUN-06,1.28707629,0.02532932,1,8315,13.33734215,39.76941348,53.10675564
ORD0000298,Pune,PUN-06,1.62761034,0.04377950,1,8315,13.33734215,42.70665727,56.04399942
ORD0000299,Pune,PUN-04,2.14363330,0.09746910,1,3178,31.74952801,47.92950610,79.67903410
ORD0000302,Pune,PUN-03,0.60534536,0.00829422,1,6179,17.25198252,34.48624406,51.73822658
ORD0000303,Pune,PUN-03,1.01137006,0.01616449,1,6179,17.25198252,37.56452525,54.81650777
ORD0000307,Pune,PUN-06,1.01971282,0.01638663,1,8315,13.33734215,37.62958847,50.96693062
ORD0000308,Pune,PUN-01,3.19477273,0.38281810,1,4724,23.66638442,63.84795214,87.51433656
ORD0000311,Pune,PUN-05,1.54840760,0.03858515,1,6302,14.48746430,41.99640770,56.48387200
ORD0000312,Pune,PUN-03,1.79874041,0.05736577,1,6179,17.25198252,44.31215594,61.56413846
ORD0000314,Pune,CS-01,2.70557261,0.21565782,1,9945,14.08748115,55.40874285,69.49622400
ORD0000315,Pune,CS-01,0.64794486,0.00889771,1,9945,14.08748115,34.80254523,48.89002637
ORD0000316,Pune,PUN-03,2.56754075,0.17935819,1,6179,17.25198252,53.35353093,70.60551345
ORD0000317,Pune,PUN-04,1.97977584,0.07598689,1,3178,31.74952801,46.13803764,77.88756564
ORD0000318,Pune,PUN-04,2.08535739,0.08926996,1,3178,31.74952801,47.27560066,79.02512867
ORD0000319,Pune,PUN-03,0.68919196,0.00952345,1,6179,17.25198252,35.11004706,52.36202958
ORD0000321,Pune,PUN-01,1.10380165,0.01879988,1,4724,23.66638442,38.29060782,61.95699224
ORD0000323,Pune,PUN-03,1.14053813,0.01996059,1,6179,17.25198252,38.58258473,55.83456725
ORD0000326,Pune,CS-01,0.77278201,0.01092823,1,9945,14.08748115,35.73732087,49.82480202
ORD0000327,Pune,PUN-06,0.90059926,0.01348161,1,8315,13.33734215,36.70864312,50.04598527
ORD0000329,Pune,PUN-06,3.08840187,0.34197608,0,8315,13.33734215,61.87809546,75.21543761
ORD0000336,Pune,PUN-03,2.60923724,0.18979237,1,6179,17.25198252,53.95843179,71.21041432
ORD0000338,Pune,PUN-04,3.05918599,0.33112815,0,3178,31.74952801,61.34814644,93.09767445
ORD0000342,Pune,PUN-06,1.54499693,0.03837529,1,8315,13.33734215,41.96623714,55.30357929
ORD0000343,Pune,PUN-05,4.88883790,0.91210858,0,6302,14.48746430,91.58512277,106.07258707
ORD0000344,Pune,CS-01,1.25986697,0.02423588,1,9945,14.08748115,39.54614514,53.63362628
ORD0000345,Pune,PUN-06,3.95601277,0.68747736,0,8315,13.33734215,78.31641014,91.65375230
ORD0000346,Pune,PUN-01,3.26473450,0.41065552,1,4724,23.66638442,65.17280696,88.83919138
ORD0000347,Pune,PUN-06,0.84425657,0.01229059,1,8315,13.33734215,36.27851382,49.61585598
ORD0000350,Pune,PUN-01,0.20467702,0.00427713,1,4724,23.66638442,31.56105310,55.22743752
ORD0000351,Pune,PUN-06,0.64396362,0.00883951,1,8315,13.33734215,34.77293063,48.11027278
ORD0000352,Pune,PUN-01,0.98265498,0.01542235,1,4724,23.66638442,37.34125528,61.00763970
ORD0000355,Pune,PUN-03,1.47692187,0.03440905,1,6179,17.25198252,41.37072473,58.62270725
ORD0000360,Pune,PUN-04,2.26457783,0.11665091,1,3178,31.74952801,49.35157220,81.10110021
ORD0000361,Pune,PUN-05,1.61095260,0.04263435,1,6302,14.48746430,42.55569874,57.04316304
ORD0000365,Pune,PUN-04,0.92287053,0.01398318,1,3178,31.74952801,36.87958928,68.62911728
ORD0000366,Pune,CS-01,0.51017814,0.00708875,1,9945,14.08748115,33.78390942,47.87139056
ORD0000367,Pune,PUN-03,0.80101231,0.01144750,1,6179,17.25198252,35.95051120,53.20249372
ORD0000371,Pune,PUN-03,2.34588096,0.13132133,1,6179,17.25198252,50.36080669,67.61278921
ORD0000373,Pune,PUN-06,1.68652811,0.04806961,1,8315,13.33734215,43.24778516,56.58512731
ORD0000376,Pune,CS-01,1.37320663,0.02911652,1,9945,14.08748115,40.48594189,54.57342303
ORD0000379,Pune,PUN-01,1.16248299,0.02068716,1,4724,23.66638442,38.75799560,62.42438002
ORD0000380,Pune,PUN-03,0.63603648,0.00872475,1,6179,17.25198252,34.71399798,51.96598051
ORD0000381,Pune,PUN-01,2.97275811,0.30010075,1,4724,23.66638442,59.81232924,83.47871366
ORD0000382,Pune,PUN-01,0.93245363,0.01420463,1,4724,23.66638442,36.95331425,60.61969867
ORD0000383,Pune,PUN-04,0.62216212,0.00852745,1,3178,31.74952801,34.61095822,66.36048622
ORD0000384,Pune,CS-01,3.65190225,0.57018616,0,9945,14.08748115,72.66890059,86.75638174
ORD0000385,Pune,PUN-01,0.35070069,0.00544636,1,4724,23.66638442,32.61829564,56.28468006
ORD0000388,Pune,PUN-06,0.48942561,0.00684992,1,8315,13.33734215,33.63147694,46.96881909
ORD0000390,Pune,PUN-03,2.56725093,0.17928726,1,6179,17.25198252,53.34937423,70.60135675
ORD0000391,Pune,CS-01,0.99991941,0.01586443,1,9945,14.08748115,37.47536873,51.56284988
ORD0000393,Pune,PUN-06,1.31272295,0.02640386,1,8315,13.33734215,39.98117645,53.31851861
ORD0000396,Pune,CS-01,0.97458228,0.01521981,1,9945,14.08748115,37.27867038,51.36615153
ORD0000402,Pune,CS-01,1.89180225,0.06633085,1,9945,14.08748115,45.23254123,59.32002238
ORD0000404,Pune,PUN-01,1.16474865,0.02076363,1,4724,23.66638442,38.77614939,62.44253381
ORD0000408,Pune,PUN-06,4.01782545,0.70912693,0,8315,13.33734215,79.39858617,92.73592832
ORD0000412,Pune,PUN-03,2.40896531,0.14375875,1,6179,17.25198252,51.17551954,68.42750206
ORD0000413,Pune,CS-01,1.12440739,0.01944253,1,9945,14.08748115,38.45412757,52.54160871
ORD0000415,Pune,PUN-03,0.67841454,0.00935586,1,6179,17.25198252,35.02957757,52.28156009
ORD0000416,Pune,PUN-06,2.45832748,0.15416179,1,8315,13.33734215,51.83314605,65.17048820
ORD0000417,Pune,PUN-03,1.16798705,0.02087341,1,6179,17.25198252,38.80211175,56.05409427
ORD0000418,Pune,CS-01,3.22607965,0.39519187,1,9945,14.08748115,64.43831362,78.52579477
ORD0000419,Pune,PUN-04,2.36708799,0.13539710,1,3178,31.74952801,50.63152886,82.38105686
ORD0000421,Pune,PUN-05,4.89680895,0.91316548,0,6302,14.48746430,91.67262698,106.16009128
ORD0000429,Pune,PUN-06,0.54985120,0.00756856,1,8315,13.33734215,34.07601507,47.41335722
ORD0000430,Pune,PUN-05,1.01655594,0.01630222,1,6302,14.48746430,37.60495824,52.09242254
ORD0000432,Pune,PUN-01,0.59862876,0.00820284,1,4724,23.66638442,34.43648666,58.10287108
ORD0000436,Pune,PUN-06,1.29708164,0.02574336,1,8315,13.33734215,39.85187221,53.18921437
ORD0000437,Pune,PUN-03,1.17490993,0.02111001,1,6179,17.25198252,38.85766989,56.10965241
ORD0000440,Pune,PUN-05,1.20448997,0.02215085,1,6302,14.48746430,39.09595522,53.58341952
ORD0000443,Pune,PUN-05,0.31427529,0.00512788,1,6302,14.48746430,32.35376330,46.84122760
ORD0000445,Pune,PUN-01,0.22186787,0.00440063,1,4724,23.66638442,31.68509388,55.35147830
ORD0000449,Pune,PUN-06,1.26681893,0.02451079,1,8315,13.33734215,39.60305628,52.94039843
ORD0000452,Pune,PUN-06,3.68277614,0.58272127,0,8315,13.33734215,73.26107109,86.59841324
ORD0000454,Pune,PUN-04,1.77951331,0.05566099,1,3178,31.74952801,44.12642298,75.87595099
ORD0000455,Pune,PUN-01,0.61667044,0.00845058,1,4724,23.66638442,34.57021036,58.23659478
ORD0000459,Pune,CS-01,1.94004243,0.07147545,1,9945,14.08748115,45.72456050,59.81204165
ORD0000462,Pune,PUN-01,0.54466499,0.00750405,1,4724,23.66638442,34.03777636,57.70416078
ORD0000467,Pune,PUN-03,0.85221564,0.01245232,1,6179,17.25198252,36.33907892,53.59106145
ORD0000468,Pune,CS-01,1.20854587,0.02229742,1,9945,14.08748115,39.12874357,53.21622471
ORD0000469,Pune,PUN-06,0.66000303,0.00907630,1,8315,13.33734215,34.89231009,48.22965224
ORD0000470,Pune,PUN-01,3.85169549,0.64905102,0,4724,23.66638442,76.43339903,100.09978345
ORD0000471,Pune,PUN-03,2.63765750,0.19716687,1,6179,17.25198252,54.37860866,71.63059118
ORD0000473,Pune,PUN-06,0.44139631,0.00632740,1,8315,13.33734215,33.27959623,46.61693838
ORD0000482,Pune,PUN-04,2.42739928,0.14757362,1,3178,31.74952801,51.41900369,83.16853170
ORD0000483,Pune,PUN-01,1.98237937,0.07629145,1,4724,23.66638442,46.16539917,69.83178359
ORD0000484,Pune,PUN-05,1.38733242,0.02978799,1,6302,14.48746430,40.60496654,55.09243083
ORD0000485,Pune,PUN-03,1.88024264,0.06515017,1,6179,17.25198252,45.11620367,62.36818619
ORD0000486,Pune,PUN-03,1.08737993,0.01830268,1,6179,17.25198252,38.16073974,55.41272226
ORD0000493,Pune,PUN-05,0.86019305,0.01261652,1,6302,14.48746430,36.39984689,50.88731119
ORD0000496,Pune,CS-01,0.31705185,0.00515149,1,9945,14.08748115,32.37390752,46.46138866
ORD0000497,Pune,PUN-04,1.14065392,0.01996436,1,3178,31.74952801,38.58350826,70.33303626
ORD0000500,Pune,PUN-03,3.43721811,0.48140537,1,6179,17.25198252,68.50268793,85.75467045
ORD0000502,Pune,PUN-03,1.59671188,0.04167811,1,6179,17.25198252,42.42732651,59.67930903
ORD0000505,Pune,CS-01,2.46888021,0.15646407,1,9945,14.08748115,51.97608349,66.06356463
ORD0000507,Pune,PUN-05,1.22739883,0.02299125,1,6302,14.48746430,39.28152937,53.76899367
ORD0000510,Pune,PUN-06,2.57323625,0.18075656,0,8315,13.33734215,53.43535053,66.77269268
ORD0000512,Pune,PUN-01,3.69292819,0.58682068,0,4724,23.66638442,73.45511764,97.12150206
ORD0000513,Pune,PUN-06,0.68370158,0.00943770,1,8315,13.33734215,35.06904216,48.40638431
ORD0000516,Pune,PUN-03,0.47098241,0.00664439,1,6179,17.25198252,33.49620857,50.74819109
ORD0000518,Pune,PUN-05,6.54586842,0.99391200,0,6302,14.48746430,105.63843881,120.12590311
ORD0000520,Pune,PUN-01,2.86756085,0.26468412,1,4724,23.66638442,58.01344953,81.67983395
ORD0000522,Pune,PUN-05,1.03415044,0.01677815,1,6302,14.48746430,37.74239758,52.22986187
ORD0000523,Pune,CS-01,3.12512928,0.35585004,1,9945,14.08748115,62.55140607,76.63888722
ORD0000526,Pune,PUN-06,0.62934305,0.00862901,1,8315,13.33734215,34.66427158,48.00161374
ORD0000528,Pune,PUN-06,4.46488077,0.83679999,0,8315,13.33734215,86.35816496,99.69550711
ORD0000529,Pune,PUN-06,1.09509570,0.01853466,1,8315,13.33734215,38.22170960,51.55905175
ORD0000531,Pune,PUN-03,1.27606856,0.02488129,1,6179,17.25198252,39.67891856,56.93090108
ORD0000532,Pune,PUN-01,2.31807946,0.12613640,1,4724,23.66638442,50.01064818,73.67703260
ORD0000535,Pune,CS-01,3.98441776,0.69753560,0,9945,14.08748115,78.81699240,92.90447354
ORD0000536,Pune,PUN-06,3.37217430,0.45448092,0,8315,13.33734215,67.23964764,80.57698980
ORD0000537,Pune,CS-01,2.11964924,0.09401627,1,9945,14.08748115,47.65803286,61.74551400
ORD0000540,Pune,PUN-04,2.57580863,0.18139091,0,3178,31.74952801,53.47238776,85.22191577
ORD0000541,Pune,PUN-05,6.91711476,0.99670720,0,6302,14.48746430,108.32101918,122.80848347
ORD0000544,Pune,CS-01,0.70622128,0.00979433,1,9945,14.08748115,35.23737870,49.32485985
ORD0000546,Pune,PUN-06,4.43352076,0.82955211,0,8315,13.33734215,85.92120864,99.25855079
ORD0000547,Pune,PUN-03,3.40156751,0.46662460,1,6179,17.25198252,67.80971047,85.06169299
ORD0000553,Pune,PUN-03,2.32102906,0.12667808,1,6179,17.25198252,50.04754566,67.29952818
ORD0000555,Pune,CS-01,0.95515323,0.01474304,1,9945,14.08748115,37.12836388,51.21584502
ORD0000560,Pune,PUN-06,4.42103928,0.82659707,0,8315,13.33734215,85.74518696,99.08252911
ORD0000561,Pune,PUN-06,1.26662349,0.02450302,1,8315,13.33734215,39.60145513,52.93879729
ORD0000562,Pune,PUN-06,1.69951567,0.04906764,1,8315,13.33734215,43.36863898,56.70598113
ORD0000567,Pune,PUN-06,0.63397448,0.00869515,1,8315,13.33734215,34.69867572,48.03601788
ORD0000568,Pune,CS-01,0.25814035,0.00467297,1,9945,14.08748115,31.94717159,46.03465274
ORD0000569,Pune,PUN-03,2.70538294,0.21560447,1,6179,17.25198252,55.40581463,72.65779715
ORD0000570,Pune,PUN-05,3.76330187,0.61487956,1,6302,14.48746430,74.78949994,89.27696424
ORD0000572,Pune,PUN-05,3.95548069,0.68728721,1,6302,14.48746430,78.30698116,92.79444545
ORD0000575,Pune,PUN-03,1.56964488,0.03991688,1,6179,17.25198252,42.18502062,59.43700314
ORD0000578,Pune,PUN-06,1.24173469,0.02353291,1,8315,13.33734215,39.39813023,52.73547239
ORD0000580,Pune,PUN-03,1.09348447,0.01848598,1,6179,17.25198252,38.20897061,55.46095313
ORD0000581,Pune,PUN-05,3.89147047,0.66396564,1,6302,14.48746430,77.15926242,91.64672672
ORD0000582,Pune,PUN-05,5.81965306,0.97991749,0,6302,14.48746430,100.13509611,114.62256041
ORD0000583,Pune,PUN-06,0.98957148,0.01559798,1,8315,13.33734215,37.39493975,50.73228191
ORD0000585,Pune,PUN-06,1.95405413,0.07303743,1,8315,13.33734215,45.86950186,59.20684401
ORD0000587,Pune,PUN-06,1.19729497,0.02189315,1,8315,13.33734215,39.03785932,52.37520147
ORD0000588,Pune,PUN-06,0.40002534,0.00590920,1,8315,13.33734215,32.97745325,46.31479540
ORD0000593,Pune,CS-01,1.97808680,0.07578990,1,9945,14.08748115,46.12030473,60.20778587
ORD0000598,Pune,PUN-04,2.36370166,0.13473920,1,3178,31.74952801,50.58808757,82.33761557
ORD0000605,Pune,PUN-03,0.93307602,0.01421913,1,6179,17.25198252,36.95810603,54.21008855
ORD0000610,Pune,PUN-05,1.26758880,0.02454142,1,6302,14.48746430,39.60936433,54.09682863
ORD0000611,Pune,PUN-05,1.26670348,0.02450620,1,6302,14.48746430,39.60211049,54.08957479
ORD0000614,Pune,PUN-03,1.96616546,0.07441284,1,6179,17.25198252,45.99554354,63.24752606
ORD0000618,Pune,PUN-03,2.83140210,0.25314744,1,6179,17.25198252,57.41423782,74.66622034
ORD0000622,Pune,PUN-04,1.38421332,0.02963844,1,3178,31.74952801,40.57864645,72.32817446
ORD0000623,Pune,PUN-05,4.81718201,0.90207465,0,6302,14.48746430,90.78251362,105.26997792
ORD0000625,Pune,PUN-06,1.24874964,0.02380248,1,8315,13.33734215,39.45532198,52.79266413
ORD0000627,Pune,PUN-06,0.23549389,0.00450103,1,8315,13.33734215,31.78348817,45.12083032
ORD0000628,Pune,PUN-01,3.63182841,0.56198637,0,4724,23.66638442,72.28239000,95.94877442
ORD0000631,Pune,PUN-06,0.43508876,0.00626179,1,8315,13.33734215,33.23347503,46.57081718
ORD0000633,Pune,PUN-04,2.01376508,0.08005200,1,3178,31.74952801,46.49791555,78.24744355
ORD0000634,Pune,CS-01,2.24032116,0.11255806,1,9945,14.08748115,49.05898994,63.14647108
ORD0000635,Pune,CS-01,2.99456144,0.30777143,1,9945,14.08748115,60.19507291,74.28255405
ORD0000638,Pune,CS-01,0.23969397,0.00453244,1,9945,14.08748115,31.81383088,45.90131202
ORD0000640,Pune,CS-01,1.22365232,0.02285171,1,9945,14.08748115,39.25111763,53.33859878
