fixed_cost_factor,city,active_ids,avg_cost,economic_cost,expected_breach,coverage,fitout
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,72.38260071,73.54224834,0.15989417,0.84105659,1650000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,77.56938831,78.72903595,0.15989417,0.84105659,1650000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,57.65116354,58.81081118,0.17482071,0.81232684,1650000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,62.73674554,63.89639317,0.17482071,0.81232684,1650000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,67.82232753,68.98197517,0.17482071,0.81232684,1650000.00000000
1.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,72.90790953,74.06755716,0.17482071,0.81232684,1650000.00000000
2.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,77.99349152,79.15313916,0.17482071,0.81232684,1650000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,57.80515150,58.96479913,0.15857498,0.84576265,1650000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,63.69278797,64.85243560,0.15857498,0.84576265,1650000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,69.58042443,70.74007207,0.15857498,0.84576265,1650000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,75.46806090,76.62770854,0.15857498,0.84576265,1650000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01,81.35569737,82.51534501,0.15857498,0.84576265,1650000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,58.81340268,59.85357147,0.19348094,0.80209243,1480000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,64.00019029,65.04035908,0.19348094,0.80209243,1480000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,69.18697790,70.22714669,0.19348094,0.80209243,1480000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,74.37376551,75.41393429,0.19348094,0.80209243,1480000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,79.56055311,80.60072190,0.19348094,0.80209243,1480000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,59.79631630,60.83648508,0.19216175,0.80679849,1480000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,65.68395277,66.72412155,0.19216175,0.80679849,1480000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,71.57158923,72.61175802,0.19216175,0.80679849,1480000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,77.45922570,78.49939449,0.19216175,0.80679849,1480000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02,83.34686217,84.38703096,0.19216175,0.80679849,1480000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,58.25911489,60.45893132,0.16833641,0.83040470,3130000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,63.46234841,65.66216484,0.16833641,0.83040470,3130000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,68.66558193,70.86539836,0.16833641,0.83040470,3130000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,73.86881545,76.06863188,0.16833641,0.83040470,3130000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,79.07204897,81.27186539,0.16833641,0.83040470,3130000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,59.08804055,61.28785698,0.18326296,0.80167495,3130000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,64.19006846,66.38988488,0.18326296,0.80167495,3130000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,69.29209637,71.49191279,0.18326296,0.80167495,3130000.00000000
1.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,74.39412427,76.59394070,0.18326296,0.80167495,3130000.00000000
2.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,79.49615218,81.69596860,0.18326296,0.80167495,3130000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,59.24202851,61.44184493,0.16701724,0.83511076,3130000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,65.14611089,67.34592731,0.16701724,0.83511076,3130000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,71.05019327,73.25000969,0.16701724,0.83511076,3130000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,76.95427565,79.15409207,0.16701724,0.83511076,3130000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-02,82.85835803,85.05817446,0.16701724,0.83511076,3130000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,57.74087880,59.94069523,0.14910267,0.84128430,3130000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,63.66267217,65.86248859,0.14910267,0.84128430,3130000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,69.58446553,71.78428195,0.14910267,0.84128430,3130000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,75.50625889,77.70607532,0.14910267,0.84128430,3130000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,81.42805226,83.62786868,0.14910267,0.84128430,3130000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,58.56980446,60.76962088,0.16402923,0.81255456,3130000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,64.39039221,66.59020864,0.16402923,0.81255456,3130000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,70.21097996,72.41079639,0.16402923,0.81255456,3130000.00000000
1.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,76.03156771,78.23138414,0.16402923,0.81255456,3130000.00000000
2.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,81.85215547,84.05197189,0.16402923,0.81255456,3130000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,58.72379241,60.92360884,0.14778349,0.84599036,3130000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,65.34643464,67.54625106,0.14778349,0.84599036,3130000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,71.96907687,74.16889329,0.14778349,0.84599036,3130000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,78.59171909,80.79153552,0.14778349,0.84599036,3130000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-02,85.21436132,87.41417774,0.14778349,0.84599036,3130000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,57.97996281,59.04824426,0.18586643,0.81298468,1520000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,63.16675041,64.23503187,0.18586643,0.81298468,1520000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,68.35353802,69.42181948,0.18586643,0.81298468,1520000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,73.54032563,74.60860709,0.18586643,0.81298468,1520000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,78.72711324,79.79539469,0.18586643,0.81298468,1520000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,58.96287642,60.03115788,0.18454725,0.81769074,1520000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,64.85051289,65.91879435,0.18454725,0.81769074,1520000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,70.73814936,71.80643082,0.18454725,0.81769074,1520000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,76.62578583,77.69406729,0.18454725,0.81769074,1520000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-03,82.51342230,83.58170376,0.18454725,0.81769074,1520000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|CS-01|CS-03,59.42064083,61.64856993,0.20329942,0.82372513,3170000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|CS-01|CS-03,63.88886860,66.11679769,0.20329942,0.82372513,3170000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|CS-01|CS-03,68.35709636,70.58502545,0.20329942,0.82372513,3170000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|CS-01|CS-03,72.82532412,75.05325322,0.20329942,0.82372513,3170000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|CS-01|CS-03,77.29355189,79.52148098,0.20329942,0.82372513,3170000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|CS-01|CS-03,60.40355445,62.63148354,0.20198023,0.82843119,3170000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|CS-01|CS-03,65.57263107,67.80056016,0.20198023,0.82843119,3170000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|CS-01|CS-03,70.74170770,72.96963679,0.20198023,0.82843119,3170000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|CS-01|CS-03,75.91078432,78.13871342,0.20198023,0.82843119,3170000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|CS-01|CS-03,81.07986095,83.30779004,0.20198023,0.82843119,3170000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,56.00017688,58.22810597,0.13489403,0.87704783,3170000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,61.20341040,63.43133949,0.13489403,0.87704783,3170000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,66.40664392,68.63457301,0.13489403,0.87704783,3170000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,71.60987744,73.83780653,0.13489403,0.87704783,3170000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,76.81311096,79.04104005,0.13489403,0.87704783,3170000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,56.82910254,59.05703163,0.14982058,0.84831809,3170000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,61.93113044,64.15905954,0.14982058,0.84831809,3170000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,67.03315835,69.26108744,0.14982058,0.84831809,3170000.00000000
1.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,72.13518626,74.36311535,0.14982058,0.84831809,3170000.00000000
2.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,77.23721417,79.46514326,0.14982058,0.84831809,3170000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,56.98309049,59.21101959,0.13357484,0.88175389,3170000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,62.88717287,65.11510197,0.13357484,0.88175389,3170000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,68.79125525,71.01918435,0.13357484,0.88175389,3170000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,74.69533763,76.92326673,0.13357484,0.88175389,3170000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-01|CS-03,80.59942002,82.82734911,0.13357484,0.88175389,3170000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-07|CS-01|CS-03,60.32388412,62.55181322,0.19615871,0.79465381,3170000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-07|CS-01|CS-03,66.19507468,68.42300378,0.19615871,0.79465381,3170000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-07|CS-01|CS-03,72.06626524,74.29419433,0.19615871,0.79465381,3170000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-07|CS-01|CS-03,77.93745580,80.16538489,0.19615871,0.79465381,3170000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-07|CS-01|CS-03,83.80864635,86.03657545,0.19615871,0.79465381,3170000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,58.84411807,61.07204717,0.18300293,0.83519931,3170000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,64.03090568,66.25883477,0.18300293,0.83519931,3170000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,69.21769329,71.44562238,0.18300293,0.83519931,3170000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,74.40448089,76.63240999,0.18300293,0.83519931,3170000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,79.59126850,81.81919760,0.18300293,0.83519931,3170000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,59.67304373,61.90097282,0.19792947,0.80646957,3170000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,64.75862573,66.98655482,0.19792947,0.80646957,3170000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,69.84420772,72.07213682,0.19792947,0.80646957,3170000.00000000
1.50000000,Pune,PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,74.92978972,77.15771881,0.19792947,0.80646957,3170000.00000000
2.00000000,Pune,PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,80.01537171,82.24330081,0.19792947,0.80646957,3170000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,59.82703169,62.05496078,0.18168373,0.83990537,3170000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,65.71466815,67.94259725,0.18168373,0.83990537,3170000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,71.60230462,73.83023372,0.18168373,0.83990537,3170000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,77.48994109,79.71787019,0.18168373,0.83990537,3170000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-05|PUN-06|PUN-07|CS-01|CS-03,83.37757756,85.60550666,0.18168373,0.83990537,3170000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,55.42365412,57.65158321,0.11459754,0.88852202,3170000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,61.34544748,63.57337658,0.11459754,0.88852202,3170000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,67.26724084,69.49516994,0.11459754,0.88852202,3170000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,73.18903421,75.41696330,0.11459754,0.88852202,3170000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,79.11082757,81.33875667,0.11459754,0.88852202,3170000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,56.25257978,58.48050887,0.12952408,0.85979228,3170000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,62.07316753,64.30109662,0.12952408,0.85979228,3170000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,67.89375528,70.12168437,0.12952408,0.85979228,3170000.00000000
1.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,73.71434303,75.94227212,0.12952408,0.85979228,3170000.00000000
2.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,79.53493078,81.76285988,0.12952408,0.85979228,3170000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,56.40656773,58.63449683,0.11327836,0.89322808,3170000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,63.02920996,65.25713905,0.11327836,0.89322808,3170000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,69.65185218,71.87978128,0.11327836,0.89322808,3170000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,76.27449441,78.50242350,0.11327836,0.89322808,3170000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-01|CS-03,82.89713663,85.12506573,0.11327836,0.89322808,3170000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,59.00357521,61.11202546,0.18623905,0.81328830,3000000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,64.20680873,66.31525898,0.18623905,0.81328830,3000000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,69.41004225,71.51849250,0.18623905,0.81328830,3000000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,74.61327577,76.72172602,0.18623905,0.81328830,3000000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,79.81650929,81.92495954,0.18623905,0.81328830,3000000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,59.98648882,62.09493907,0.18491985,0.81799436,3000000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,65.89057121,67.99902145,0.18491985,0.81799436,3000000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,71.79465359,73.90310383,0.18491985,0.81799436,3000000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,77.69873597,79.80718622,0.18491985,0.81799436,3000000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|CS-02|CS-03,83.60281835,85.71126860,0.18491985,0.81799436,3000000.00000000
0.00000000,Pune,PUN-01|PUN-02|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,60.62987775,62.73832800,0.20247994,0.79047908,3000000.00000000
0.50000000,Pune,PUN-01|PUN-02|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,66.48462240,68.59307264,0.20247994,0.79047908,3000000.00000000
1.00000000,Pune,PUN-01|PUN-02|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,72.33936704,74.44781729,0.20247994,0.79047908,3000000.00000000
1.50000000,Pune,PUN-01|PUN-02|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,78.19411169,80.30256193,0.20247994,0.79047908,3000000.00000000
2.00000000,Pune,PUN-01|PUN-02|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,84.04885633,86.15730658,0.20247994,0.79047908,3000000.00000000
0.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,57.41481892,59.52326916,0.14818431,0.84955786,3000000.00000000
0.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,63.33661228,65.44506253,0.14818431,0.84955786,3000000.00000000
1.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,69.25840564,71.36685589,0.14818431,0.84955786,3000000.00000000
1.50000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,75.18019901,77.28864926,0.14818431,0.84955786,3000000.00000000
2.00000000,Pune,PUN-01|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,81.10199237,83.21044262,0.14818431,0.84955786,3000000.00000000
0.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,58.24374458,60.35219482,0.16311084,0.82082811,3000000.00000000
0.50000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,64.06433233,66.17278257,0.16311084,0.82082811,3000000.00000000
1.00000000,Pune,PUN-02|PUN-03|PUN-04|PUN-05|PUN-06|PUN-07|CS-02|CS-03,69.88492008,71.99337033,0.16311084,0.82082811,3000000.00000000
